DATE,TIME,FIELD,VENUE,ROUND,GRADE,TEAM 1,TEAM 2
23/03/2025,17:30,WF,Newcastle International Hockey Centre,1,2ND GRADE,Newcastle Hockey Association Tigers,Newcastle Hockey Association Wests
23/03/2025,17:30,EF,Newcastle International Hockey Centre,1,2ND GRADE,Newcastle Hockey Association Maitland,Newcastle Hockey Association Souths
23/03/2025,,,,1,2ND GRADE,Norths,BYE
23/03/2025,16:00,EF,Newcastle International Hockey Centre,1,3RD GRADE,Newcastle Hockey Association University Seapigs,Newcastle Hockey Association Wests Red
23/03/2025,8:30,WF,Newcastle International Hockey Centre,1,3RD GRADE,Newcastle Hockey Association Norths,Newcastle Hockey Association Souths
23/03/2025,8:30,EF,Newcastle International Hockey Centre,1,3RD GRADE,Newcastle Hockey Association University,Newcastle Hockey Association Wests Green
23/03/2025,13:00,SF,Newcastle International Hockey Centre,1,3RD GRADE,Newcastle Hockey Association Crusaders,Newcastle Hockey Association Tigers
23/03/2025,,,,1,3RD GRADE,Port Stephens,BYE
23/03/2025,16:00,SF,Newcastle International Hockey Centre,1,4TH GRADE,Newcastle Hockey Association Colts,Newcastle Hockey Association Wests Green
23/03/2025,10:00,EF,Newcastle International Hockey Centre,1,4TH GRADE,Newcastle Hockey Association Souths,Newcastle Hockey Association University
23/03/2025,11:30,SF,Newcastle International Hockey Centre,1,4TH GRADE,Newcastle Hockey Association Port Stephens,Newcastle Hockey Association Tigers
23/03/2025,10:00,WF,Newcastle International Hockey Centre,1,4TH GRADE,Newcastle Hockey Association Norths,Newcastle Hockey Association Wests Red
23/03/2025,,,,1,4TH GRADE,Maitland,BYE
23/03/2025,13:00,EF,Newcastle International Hockey Centre,1,5TH GRADE,Newcastle Hockey Association Colts,Newcastle Hockey Association Wests
23/03/2025,10:00,SF,Newcastle International Hockey Centre,1,5TH GRADE,Newcastle Hockey Association Port Stephens,Newcastle Hockey Association University
23/03/2025,13:00,WF,Newcastle International Hockey Centre,1,5TH GRADE,Newcastle Hockey Association Crusaders,Newcastle Hockey Association Maitland
23/03/2025,11:30,WF,Newcastle International Hockey Centre,1,5TH GRADE,Newcastle Hockey Association Norths,Newcastle Hockey Association University Seapigs
23/03/2025,8:30,SF,Newcastle International Hockey Centre,1,5TH GRADE,Newcastle Hockey Association Tigers Yellow,Newcastle Hockey Association Tigers Black
23/03/2025,17:30,SF,Newcastle International Hockey Centre,1,6TH GRADE,Newcastle Hockey Association Tigers,Newcastle Hockey Association University Gentlemen
23/03/2025,14:30,SF,Newcastle International Hockey Centre,1,6TH GRADE,Newcastle Hockey Association Colts,Newcastle Hockey Association Wests
23/03/2025,11:30,EF,Newcastle International Hockey Centre,1,6TH GRADE,Newcastle Hockey Association Souths,Newcastle Hockey Association University
23/03/2025,,,,1,6TH GRADE,Crusaders,BYE
23/03/2025,,,,1,6TH GRADE,Maitland,BYE
23/03/2025,15:00,,Central Coast Hockey Park,1,HCPHL,Newcastle Hockey Association Gosford,Newcastle Hockey Association Norths
23/03/2025,16:00,WF,Newcastle International Hockey Centre,1,HCPHL,Newcastle Hockey Association Maitland,Newcastle Hockey Association Souths
23/03/2025,14:30,EF,Newcastle International Hockey Centre,1,HCPHL,Newcastle Hockey Association Tigers,Newcastle Hockey Association Wests
30/03/2025,13:30,,Maitland Park,2,2ND GRADE,Newcastle Hockey Association Maitland,Newcastle Hockey Association Wests
30/03/2025,15:00,WF,Newcastle International Hockey Centre,2,2ND GRADE,Newcastle Hockey Association Norths,Newcastle Hockey Association Tigers
30/03/2025,,,,2,2ND GRADE,Souths,BYE
30/03/2025,10:30,EF,Newcastle International Hockey Centre,2,3RD GRADE,Newcastle Hockey Association Norths,Newcastle Hockey Association Wests Red
30/03/2025,13:30,EF,Newcastle International Hockey Centre,2,3RD GRADE,Newcastle Hockey Association University Seapigs,Newcastle Hockey Association Souths
30/03/2025,10:30,WF,Newcastle International Hockey Centre,2,3RD GRADE,Newcastle Hockey Association Port Stephens,Newcastle Hockey Association Tigers
30/03/2025,15:00,SF,Newcastle International Hockey Centre,2,3RD GRADE,Newcastle Hockey Association Crusaders,Newcastle Hockey Association University
30/03/2025,,,,2,3RD GRADE,Wests Green,BYE
30/03/2025,9:00,EF,Newcastle International Hockey Centre,2,4TH GRADE,Newcastle Hockey Association Maitland,Newcastle Hockey Association Souths
30/03/2025,16:30,EF,Newcastle International Hockey Centre,2,4TH GRADE,Newcastle Hockey Association University,Newcastle Hockey Association Wests Red
30/03/2025,12:00,WF,Newcastle International Hockey Centre,2,4TH GRADE,Newcastle Hockey Association Norths,Newcastle Hockey Association Port Stephens
30/03/2025,16:30,WF,Newcastle International Hockey Centre,2,4TH GRADE,Newcastle Hockey Association Tigers,Newcastle Hockey Association Wests Green
30/03/2025,,,,2,4TH GRADE,Colts,BYE
30/03/2025,12:00,,Maitland Park,2,5TH GRADE,Newcastle Hockey Association Maitland,Newcastle Hockey Association Wests
30/03/2025,9:00,WF,Newcastle International Hockey Centre,2,5TH GRADE,Newcastle Hockey Association Port Stephens,Newcastle Hockey Association University Seapigs
30/03/2025,9:00,SF,Newcastle International Hockey Centre,2,5TH GRADE,Newcastle Hockey Association Crusaders,Newcastle Hockey Association Tigers Black
30/03/2025,10:30,SF,Newcastle International Hockey Centre,2,5TH GRADE,Newcastle Hockey Association Tigers Yellow,Newcastle Hockey Association University
30/03/2025,16:30,SF,Newcastle International Hockey Centre,2,5TH GRADE,Newcastle Hockey Association Norths,Newcastle Hockey Association Colts
30/03/2025,10:30,,Maitland Park,2,6TH GRADE,Newcastle Hockey Association Maitland,Newcastle Hockey Association Wests
30/03/2025,12:00,EF,Newcastle International Hockey Centre,2,6TH GRADE,Newcastle Hockey Association Colts,Newcastle Hockey Association University
30/03/2025,12:00,SF,Newcastle International Hockey Centre,2,6TH GRADE,Newcastle Hockey Association Souths,Newcastle Hockey Association Tigers
30/03/2025,13:30,SF,Newcastle International Hockey Centre,2,6TH GRADE,Newcastle Hockey Association Crusaders,Newcastle Hockey Association University Gentlemen
30/03/2025,15:00,,Maitland Park,2,HCPHL,Newcastle Hockey Association Maitland,Newcastle Hockey Association Wests
30/03/2025,15:00,EF,Newcastle International Hockey Centre,2,HCPHL,Newcastle Hockey Association Souths,Newcastle Hockey Association Gosford
30/03/2025,13:30,WF,Newcastle International Hockey Centre,2,HCPHL,Newcastle Hockey Association Norths,Newcastle Hockey Association Tigers
6/04/2025,16:00,EF,Newcastle International Hockey Centre,3,2ND GRADE,Newcastle Hockey Association Maitland,Newcastle Hockey Association Tigers
6/04/2025,14:30,WF,Newcastle International Hockey Centre,3,2ND GRADE,Newcastle Hockey Association Norths,Newcastle Hockey Association Souths
6/04/2025,,,,3,2ND GRADE,Wests,BYE
6/04/2025,17:30,WF,Newcastle International Hockey Centre,3,3RD GRADE,Newcastle Hockey Association Souths,Newcastle Hockey Association Wests Red
6/04/2025,14:30,SF,Newcastle International Hockey Centre,3,3RD GRADE,Newcastle Hockey Association Port Stephens,Newcastle Hockey Association University
6/04/2025,10:00,SF,Newcastle International Hockey Centre,3,3RD GRADE,Newcastle Hockey Association Tigers,Newcastle Hockey Association Wests Green
6/04/2025,11:30,WF,Newcastle International Hockey Centre,3,3RD GRADE,Newcastle Hockey Association Crusaders,Newcastle Hockey Association Norths
6/04/2025,,,,3,3RD GRADE,University Seapigs,BYE
6/04/2025,17:30,EF,Newcastle International Hockey Centre,3,4TH GRADE,Newcastle Hockey Association Tigers,Newcastle Hockey Association University
6/04/2025,13:00,WF,Newcastle International Hockey Centre,3,4TH GRADE,Newcastle Hockey Association Souths,Newcastle Hockey Association Wests Red
6/04/2025,13:00,SF,Newcastle International Hockey Centre,3,4TH GRADE,Newcastle Hockey Association Maitland,Newcastle Hockey Association Port Stephens
6/04/2025,,,,3,4TH GRADE,Colts,BYE
6/04/2025,,,,3,4TH GRADE,Wests Green,BYE
6/04/2025,,,,3,4TH GRADE,Norths,BYE
6/04/2025,11:30,EF,Newcastle International Hockey Centre,3,5TH GRADE,Newcastle Hockey Association Maitland,Newcastle Hockey Association University Seapigs
6/04/2025,16:00,SF,Newcastle International Hockey Centre,3,5TH GRADE,Newcastle Hockey Association Colts,Newcastle Hockey Association Crusaders
6/04/2025,11:30,SF,Newcastle International Hockey Centre,3,5TH GRADE,Newcastle Hockey Association Port Stephens,Newcastle Hockey Association University
6/04/2025,10:00,WF,Newcastle International Hockey Centre,3,5TH GRADE,Newcastle Hockey Association Tigers Yellow,Newcastle Hockey Association Wests
6/04/2025,,,,3,5TH GRADE,Tigers Black,BYE
6/04/2025,,,,3,5TH GRADE,Norths,BYE
